CondA_SRR3105699	CondA_SRR3105698	CondA_SRR3105697	CondB_SRR3099587	CondB_SRR3099586	CondB_SRR3099585
ostta01g00010	215	403	199	395	415	305
ostta01g00020	166	339	195	252	287	156
ostta01g00030	51	75	55	57	29	23
ostta01g00040	671	1444	847	946	984	725
ostta01g00050	368	970	354	558	592	500
ostta01g00060	197	363	202	299	249	226
ostta01g00070	97	235	131	160	96	137
ostta01g00080	9	27	21	28	21	22
ostta01g00090	2140	4734	1907	3080	3113	931
ostta01g00100	368	1123	272	497	496	558
ostta01g00110	11	22	10	21	11	5
ostta01g00120	149	327	136	138	96	249
ostta01g00130	149	353	170	242	206	270
ostta01g00140	135	276	153	160	126	916
ostta01g00150	61	127	77	74	40	0
ostta01g00160	245	557	297	299	274	171
ostta01g00170	38	73	46	46	41	35
ostta01g00180	45	98	55	95	76	7
ostta01g00190	812	1701	781	608	590	93
ostta01g00200	71	183	133	160	133	50
ostta01g00210	86	147	111	146	107	90
ostta01g00220	134	234	196	203	192	102
ostta01g00230	37	93	65	92	66	52
ostta01g00240	75	154	56	86	75	39
ostta01g00250	24	42	34	30	26	24
ostta01g00260	4	5	11	2	3	1
ostta01g00270	214	416	225	578	554	504
ostta01g00280	227	426	232	302	200	86
ostta01g00290	9	28	23	29	40	15
ostta01g00300	29	53	39	37	47	52
ostta01g00310	86	173	67	105	108	166
ostta01g00320	151	284	189	229	203	166
ostta01g00330	405	710	415	617	778	1402
ostta01g00340	56	121	76	141	100	8
ostta01g00350	357	689	507	913	702	629
ostta01g00360	67	128	38	31	13	10
ostta01g00370	72	116	92	118	89	42
ostta01g00380	342	888	438	580	516	314
ostta01g00390	84	185	117	179	168	107
ostta01g00400	373	790	404	516	491	417
ostta01g00410	24	41	27	56	31	27
ostta01g00420	129	299	153	210	212	106
ostta01g00430	169	301	262	265	188	91
ostta01g00440	555	1281	834	944	752	478
ostta01g00450	26	46	44	80	37	18
ostta01g00460	466	1358	471	641	588	539
ostta01g00470	52	114	59	85	78	9
ostta01g00480	78	153	77	109	109	32
ostta01g00485	1815	3598	1336	2112	1218	1061
ostta01g00490	707	1345	974	1007	683	985
ostta01g00500	1201	2737	1087	1592	1479	1870
ostta01g00510	847	1822	795	1269	1415	809
ostta01g00520	266	655	289	287	307	333
ostta01g00530	24	46	8	11	11	0
ostta01g00540	82	304	155	207	168	139
ostta01g00550	66	90	58	28	24	117
ostta01g00560	86	192	160	211	146	121
ostta01g00570	125	257	93	87	66	9
ostta01g00580	93	178	101	129	96	18
ostta01g00590	81	131	71	106	76	25
ostta01g00600	36	54	28	84	32	28
ostta01g00610	98	229	143	194	189	157
ostta01g00620	557	1329	570	1032	1053	748
ostta01g00630	60	163	51	115	75	34
ostta01g00640	74	203	69	157	72	4
ostta01g00650	88	259	103	118	119	57
ostta01g00660	380	855	372	616	251	541
ostta01g00670	201	449	284	384	319	406
ostta01g00680	80	167	85	151	106	91
ostta01g00690	165	323	219	267	227	182
ostta01g00720	689	1869	845	698	555	165
ostta01g00730	137	395	108	199	185	114
ostta01g00740	78	186	51	116	88	74
ostta01g00750	55	130	52	86	94	26
ostta01g00760	100	205	128	151	157	50
ostta01g00770	37	67	40	82	59	28
ostta01g00780	57	134	66	145	138	18
ostta01g00790	121	241	153	90	67	186
ostta01g00800	168	425	210	217	226	80
ostta01g00810	83	192	77	42	41	332
ostta01g00820	129	425	133	71	82	19
ostta01g00830	604	1255	640	650	514	1411
ostta01g00840	6	34	21	20	17	13
ostta01g00850	42	81	83	66	32	26
ostta01g00860	169	296	172	264	162	14
ostta01g00870	1	12	3	5	6	0
ostta01g00880	516	1179	615	997	849	459
ostta01g00890	5228	13149	5424	4824	4414	3784
ostta01g00910	1	0	0	0	0	0
ostta01g00920	80	129	65	120	95	44
ostta01g00930	30	75	48	50	34	82
ostta01g00940	985	2871	958	1599	1514	1908
ostta01g00950	289	674	249	285	285	58
ostta01g00960	90	181	72	174	100	92
ostta01g00970	144	385	140	154	246	218
ostta01g00980	336	752	351	266	259	427
ostta01g00990	74	147	99	201	170	168
ostta01g01000	75	129	46	63	77	28
ostta01g01020	1432	2181	1690	1457	1432	1031
ostta01g01030	1649	3726	1597	2587	2367	3045
ostta01g01040	629	1347	990	1800	1122	1546
ostta01g01050	102	236	105	180	129	141
ostta01g01060	428	826	344	624	611	686
ostta01g01070	69	156	139	180	188	124
ostta01g01080	83	175	107	100	125	105
ostta01g01085	300	594	436	522	410	323
ostta01g01090	94	159	105	117	161	128
ostta01g01100	1287	3135	1037	1384	983	918
ostta01g01110	1507	3689	1443	2687	2943	3827
ostta01g01120	504	899	700	811	650	602
ostta01g01130	122	222	127	227	209	103
ostta01g01140	92	147	127	195	141	89
ostta01g01150	41	117	46	81	86	119
ostta01g01160	100	173	127	157	180	96
ostta01g01170	415	704	416	729	563	429
ostta01g01180	197	376	276	320	282	203
ostta01g01190	14	21	25	37	26	9
ostta01g01200	149	264	260	280	141	85
ostta01g01210	172	357	206	443	409	269
ostta01g01220	719	1975	685	676	396	51
ostta01g01230	66	146	94	114	76	71
ostta01g01240	2	10	4	2	1	5
ostta01g01250	51	71	38	78	49	61
ostta01g01260	172	398	365	504	318	351
ostta01g01270	589	1098	719	480	439	153
ostta01g01280	62	79	79	50	68	79
ostta01g01290	267	498	245	237	165	452
ostta01g01295	55	73	52	54	58	39
ostta01g01300	694	1930	596	1115	991	957
ostta01g01310	45	127	42	92	80	60
ostta01g01320	272	464	281	379	290	174
ostta01g01330	150	315	211	206	228	82
ostta01g01340	1	4	0	1	0	0
ostta01g01350	187	444	193	325	329	143
ostta01g01370	10	10	10	9	8	0
ostta01g01380	186	398	185	374	297	193
ostta01g01390	0	1	3	4	1	0
ostta01g01400	48	101	52	111	92	70
ostta01g01410	250	491	239	541	408	67
ostta01g01420	189	414	178	291	207	18
ostta01g01430	55	95	64	120	84	51
ostta01g01440	152	398	135	205	133	97
ostta01g01450	138	395	121	236	230	48
ostta01g01460	176	399	185	220	170	168
ostta01g01470	44	128	80	94	75	66
ostta01g01480	815	1560	1051	1016	874	724
ostta01g01490	153	317	114	130	105	91
ostta01g01500	1973	3806	1690	2289	1833	1992
ostta01g01510	311	554	449	335	295	71
ostta01g01520	12	16	13	10	20	14
ostta01g01530	502	1141	376	487	402	303
ostta01g01540	208	420	222	603	460	522
ostta01g01550	1352	2669	1196	2978	2745	3505
ostta01g01560	5952	15627	5016	10084	9537	27698
ostta01g01570	125	310	107	183	152	95
